meal_name,meal_slot,meal_timestamp,protein,fibre,calories,carbohydrates,fat
"Molake Hesaru Kalu, Carrot Cucumber Salad",Breakfast,1730178392000,3.120249,3.5614777,50.91839,10.760065,0.31716186
Black Tea with Lemon,Pre Breakfast,1730164444000,0.42804116,0.015820192,3.2080688,0.4457813,0.012656154
Plain Curd,Dinner,1730132349000,4.6499996,0.0,90.0,4.5,6.0
"Ragi Mudde, Radish Carrot Sambar",Dinner,1730132319000,7.071343,7.9806037,229.85999,44.466003,2.7353745
"Onion Ragi Dosa, Tamatar Salad, Vegetable Sagu",Breakfast,1730100417000,5.5593786,7.6369486,315.94745,34.197075,17.600142
Black Tea with Lemon,Pre Breakfast,1730082034000,0.42804116,0.015820192,3.2080688,0.4457813,0.012656154
"Vegetable Rava Upma, Boiled Corn, Plain Curd",Dinner,1730100565000,11.145578,4.581709,297.27808,44.88372,9.983112
Mixed  dry Fruits,Evening Snack,1730037601000,2.5334997,1.701,101.76509,8.487599,6.5027995
Black Tea with Lemon,Evening Snack,1730034633000,0.42804116,0.015820192,3.2080688,0.4457813,0.012656154
"Baalekayi Paladya, Beans Palya, Alugadde Palya, Cucumber Kosambari, Plain Rice, Vegetable Sambar, Dal, Rasam, Plain Curd, Kayi Holige, Dal Payasam, Papad",Lunch,1730034605000,19.328255,11.315498,670.4263,83.48231,29.4334
"Onion Ragi Dosa, Vegetable Sagu",Breakfast,1730006342000,4.2428355,5.28006,252.48996,25.994802,14.7657385
"Sprouts, Idli Rava, Coconut chutney",Dinner,1729964762000,6.275051,4.679915,260.59933,41.967373,7.337474
Black Tea without Sugar,Evening Snack,1729953833000,0.10712915,0.04505679,1.6697518,0.31094489,0.0
"Rava Dosa, Upma",Lunch,1729934276000,5.4558268,2.4565978,241.71252,39.686996,6.716156
"Sprouts, Gravy, Idly",Breakfast,1729934206000,12.592226,3.9992204,436.19495,47.680805,22.29105
Green Tea,Pre Breakfast,1729911761000,0.0,0.0,0.0,0.0,0.0
"Plain Dosa, Coconut chutney, Cucumber Salad",Dinner,1729872466000,10.087666,8.252768,493.1085,55.14466,26.477673
"Wheat Chapati, Dal, Carrot Cucumber Salad",Lunch,1729867345000,8.47575,9.0339775,241.8434,49.488064,1.3556619
"Green Tea, Tetley",Mid Morning Snack,1729838476000,0.38,0.0,1.8399999,0.08,0.0
"Rice Pongal, Cucumber Salad",Breakfast,1729838443000,3.3906012,1.3926365,116.85183,21.071346,2.468328
Black Tea with Lemon,Pre Breakfast,1729822550000,0.42804116,0.015820192,3.2080688,0.4457813,0.012656154
"Butter Roti, Palak Paneer Curry, Masala Papad, Lemon Soda Sweet And Salt, Cucumber Salad, Onion Salad",Lunch,1729764712000,14.367664,10.000752,577.90027,64.819756,29.573793
Pesarattu Dosa,Breakfast,1729742671000,11.822021,8.221409,232.69794,27.872805,8.282954
Black Tea with Lemon,Pre Breakfast,1729738087000,0.42804116,0.015820192,3.2080688,0.4457813,0.012656154
"Wheat Chapati, Gorikayi Palya",Dinner,1729698731000,9.02351,9.5085125,305.15417,43.590862,10.373065
Cucumber Carrot Radish Salad,Dinner,1729697476000,1.4361236,2.6224396,42.64769,9.635832,0.21682549
"Elaichi Banana, Plum Fruit, Bean Sprouts, Tomato Rasam, Plain Curd, Plain Rice",Lunch,1729683683000,12.592564,6.4172783,355.0731,59.85125,8.476718
Lemon Water,Pre Breakfast,1729570061000,0.052083336,0.04464286,3.2738094,1.0267857,0.035714287
Black Tea with Lemon,Pre Breakfast,1729560365000,0.42804116,0.015820192,3.2080688,0.4457813,0.012656154
Cereals and Milk,Dinner,1729533751000,9.2028,4.2672,237.23038,33.2822,8.993
Green Tea,Evening Snack,1729533694000,0.0,0.0,0.0,0.0,0.0
"Ragi Balls, Drumstick Curry, Plain Rice, Plain Curd",Lunch,1729533640000,9.165287,5.877922,303.12698,43.83082,10.301826
"Vegetable Soup, Vegetable Upma, Plain Curd",Breakfast,1729491898000,15.117495,9.970428,463.45508,68.493454,15.042188
Green Tea/ Black Coffee/ Black Tea,Pre Breakfast,1729477805000,0.001,0.0,0.01,0.003,0.0
Small Banana,Evening Snack,1729343445000,1.2,2.4,86.4,22.800001,0.0
"Greengram Curry, Plain Rice, Plain Curd",Lunch,1729335759000,13.575774,10.952534,483.4437,88.64951,3.9481032
Cucumber,Lunch,1729335649000,0.67599994,0.52,15.599999,3.7752,0.11439999
Boiled Vegetables,Breakfast,1729322343000,1.8894616,4.3860908,55.69859,11.410691,0.42492893
Black Tea without Sugar,Pre Breakfast,1729400884000,0.1487905,0.06257888,2.3190997,0.4318679,0.0
Lemon Green Tea,Pre Breakfast,1729306121000,0.30262947,0.025816733,3.212749,0.65115535,0.020653386
"beetroot poriyal, Chitranna, Obbattu, Plain Curd",Dinner,1729263566000,17.171637,9.473135,651.2833,90.62067,24.431583
Green Tea,Evening Snack,1729259457000,0.0,0.0,0.0,0.0,0.0
Lemon Water,Evening Snack,1729255912000,0.052083336,0.04464286,3.2738094,1.0267857,0.035714287
"Carrot Cucumber Salad, Rasam Rice, beetroot poriyal, Plain Curd",Lunch,1729255847000,7.7760925,10.267122,330.30444,48.566963,11.936886
Mixed Vegetable Salad,Breakfast,1729255720000,1.1103928,2.3801625,28.850836,5.923969,0.112610675
Lemon Water,Pre Breakfast,1729255672000,0.052083336,0.04464286,3.2738094,1.0267857,0.035714287
Green Tea,Pre Breakfast,1729255633000,0.0,0.0,0.0,0.0,0.0
Green Tea,Pre Breakfast,1729214997000,0.0,0.0,0.0,0.0,0.0
"Carrot Cucumber Salad, Rice and Rasam, Rice with Curd",Lunch,1729161851000,8.422373,3.398896,301.53857,52.517494,6.6024337
Fruit Bowl,Breakfast,1729141445000,1.2720909,4.9554663,84.18668,19.534832,0.63748276
Lemon Water,Pre Breakfast,1729137050000,0.052083336,0.04464286,3.2738094,1.0267857,0.035714287
Green Tea,Pre Breakfast,1729131440000,0.0,0.0,0.0,0.0,0.0
"Wheat Chapati, Tomato Cucumber Salad, Plain Rice, Brinjal Sabji, Plain Curd",Dinner,1729095508000,16.481932,8.242146,575.8231,96.07478,14.372948
"Wheat Chapati, Cucumber, Mixed Vegetable Salad",Lunch,1729089790000,12.560589,12.995243,341.02625,71.09995,1.7519159
"Tomato Cucumber Salad, Mixed Vegetable Salad, Wheat Chapati, Cucumber",Lunch,1729089973000,12.389772,13.227173,337.48828,69.878204,1.7545056
